Kenteken,Voertuigsoort,Merk,Handelsbenaming,Datum tenaamstelling,Inrichting,Aantal zitplaatsen,Eerste kleur,Aantal cilinders,Cilinderinhoud,Europese voertuigcategorie
45GBX1,Personenauto,OPEL,ASTRA GTC,20190308,coupe,5,ZWART,4,"1,796",M1
96XPG9,Personenauto,SUZUKI,SPLASH,20220222,stationwagen,5,BLAUW,3,996,M1
V243FN,Bedrijfsauto,VOLKSWAGEN,TRANSPORTER,20170323,open laadvloer,3,N.v.t.,4,"1,968",N1
VJ309T,Bedrijfsauto,VOLKSWAGEN,CADDY,20220525,gesloten opbouw,2,N.v.t.,4,"1,598",N1
JV401K,Personenauto,RENAULT,TWINGO,20201120,hatchback,4,ZWART,3,999,M1
61THKT,Personenauto,CITROEN,CITROEN C1,20220709,hatchback,4,ZWART,3,998,M1
98PJD2,Personenauto,PEUGEOT,206+,20150604,hatchback,5,GRIJS,4,"1,360",M1
SPGR69,Personenauto,VOLKSWAGEN,POLO 44 KW,20170505,hatchback,,WIT,4,"1,390",M1
12RDK9,Personenauto,RENAULT,MEGANE,20150226,stationwagen,5,GRIJS,4,"1,461",M1
32LJRF,Personenauto,FORD,FOCUS,20220218,hatchback,5,ZWART,4,"1,388",M1
VB784V,Bedrijfsauto,RENAULT,KANGOO,20220707,gesloten opbouw,2,N.v.t.,4,"1,461",N1
39TKHS,Personenauto,FIAT,FIAT PANDA,20210217,hatchback,4,ZWART,4,"1,242",M1
31TJT8,Personenauto,SUZUKI,SWIFT,20201204,hatchback,5,ZWART,4,"1,242",M1
2KXX98,Personenauto,MINI,MINI,20180203,hatchback,4,WIT,4,"1,598",M1
1SPH48,Personenauto,FORD,FIESTA,20131116,hatchback,5,GRIJS,4,"1,242",M1
03PPD8,Personenauto,MITSUBISHI,MITSUBISHI ASX,20110304,stationwagen,5,GRIJS,4,"1,590",M1
SG772P,Personenauto,SKODA,KODIAQ,20180407,stationwagen,5,GROEN,4,"1,395",M1
GH119B,Personenauto,VOLKSWAGEN,UP,20151102,hatchback,4,ROOD,3,999,M1
VS354L,Bedrijfsauto,VOLKSWAGEN,CRAFTER,20210210,gesloten opbouw,3,N.v.t.,4,"1,968",N1
1ZNL33,Personenauto,CITROEN,CITROEN C1,20210220,hatchback,4,WIT,3,998,M1
72XHHB,Personenauto,SUZUKI,SWIFT,20140306,hatchback,4,ROOD,4,"1,328",M1
SB439G,Personenauto,TESLA,MODEL X,20180309,MPV,7,ZWART,,,M1
80PKRX,Personenauto,TOYOTA,TOYOTA COROLLA VERSO,20190916,stationwagen,7,GRIJS,4,"1,794",M1
83HBT9,Personenauto,AUDI,AUDI A6,20200701,stationwagen,5,BLAUW,4,"1,984",M1
51NRX5,Personenauto,RENAULT,CLIO,20101105,hatchback,5,GRIJS,4,"1,149",M1
VFP05K,Bedrijfsauto,RENAULT,KANGOO,20200317,gesloten opbouw,2,N.v.t.,4,"1,461",N1
83ZKDJ,Personenauto,SKODA,FABIA,20140221,hatchback,5,ROOD,4,"1,390",M1
GJ333N,Personenauto,VOLKSWAGEN,22,20220217,stationwagen,2,ZWART,4,"1,957",M1
V060VB,Bedrijfsauto,VOLKSWAGEN,TRANSPORTER,20190314,gesloten opbouw,3,N.v.t.,4,"1,968",N1
XLDV75,Personenauto,VOLKSWAGEN,LUPO,20211004,hatchback,4,BLAUW,4,997,M1
V681HT,Bedrijfsauto,RENAULT,TRAFIC,20170824,gesloten opbouw,3,N.v.t.,4,"1,598",N1
87TKJH,Personenauto,BMW,3ER REIHE,20210226,stationwagen,5,ZWART,4,"1,995",M1
25RRD7,Personenauto,VOLKSWAGEN,GOLF,20220525,stationwagen,5,GRIJS,4,"1,390",M1
6VXB53,Bedrijfsauto,PEUGEOT,PARTNER,20191108,gesloten opbouw,3,N.v.t.,4,"1,560",N1
95STHZ,Personenauto,SUZUKI,SWIFT,20170721,hatchback,5,ZWART,4,"1,328",M1
22PLB5,Personenauto,PEUGEOT,PEUGEOT 107,20171004,hatchback,4,GRIJS,3,998,M1
XK171L,Personenauto,VOLKSWAGEN,POLO,20220222,hatchback,5,GRIJS,3,999,M1
24LVPG,Personenauto,ROVER,ROVER 75,20050117,sedan,5,BLAUW,4,"1,796",M1
94SNKR,Personenauto,FORD,FIESTA,20121227,hatchback,5,ORANJE,4,"1,299",M1
3TKF47,Personenauto,MAZDA,MAZDA3,20140307,hatchback,5,ZWART,4,"1,998",M1
64HRJ5,Personenauto,HYUNDAI,I 10,20220709,MPV,5,ROOD,4,"1,086",M1
NX251D,Personenauto,TOYOTA,TOYOTA AYGO,20220221,hatchback,4,WIT,3,998,M1
53JTB2,Personenauto,RENAULT,MEGANE SCENIC,20200314,MPV,7,ZWART,4,"1,397",M1
KX984G,Personenauto,MERCEDES-BENZ,GLA 180,20161216,stationwagen,5,ZWART,4,"1,595",M1
27XTGB,Personenauto,OPEL,CORSA,20180322,MPV,5,GRIJS,4,"1,364",M1
4XDG98,Personenauto,AUDI,A3 SPORTBACK G-TRON,20170405,hatchback,5,ZWART,4,"1,395",M1
THK24T,Land- of bosbouwtrekker,YANMAR,YM1600,20220324,Niet geregistreerd,,N.v.t.,,,T
TZ042B,Personenauto,OPEL,KARL / VIVA,20220330,hatchback,5,WIT,3,999,M1
